participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,mean_saccade_amplitude,saccade_count,mean_saccade_velocity,mean_saccade_duration,saccade_rate
edf05,32,Punjabi,sentence_audio,passive_dropped_agent,10789,1.6445454545454545,11,112.43545454545455,56.72727272727273,1.019556956159051
edf05,33,Punjabi,sentence_audio,passive_dropped_agent,10504,1.9300000000000002,10,93.01699999999998,45.6,0.952018278750952
edf05,34,English,sentence_audio,active,10511,2.478,10,105.48299999999999,48.0,0.9513842641042718
edf05,35,English,sentence_audio,active,10999,2.5015384615384613,13,106.96076923076923,55.69230769230769,1.181925629602691
edf05,36,English,sentence_audio,active,11043,1.7899999999999998,12,86.05416666666667,39.0,1.0866612333605
edf05,4,,free_viewing,,6061,2.325714285714286,7,73.45857142857143,28.285714285714285,1.1549249298795579
edf05,5,,free_viewing,,5775,3.26,12,92.70583333333333,32.166666666666664,2.0779220779220777
edf05,6,,free_viewing,,6006,1.842222222222222,9,66.91666666666667,25.333333333333332,1.4985014985014984
edf05,7,,free_viewing,,5779,2.0200000000000005,14,96.02428571428572,34.285714285714285,2.422564457518602
edf05,8,,free_viewing,,6108,2.4341666666666666,12,75.8775,29.833333333333332,1.9646365422396859
edf05,9,,free_viewing,,6082,3.0410000000000004,10,118.026,39.8,1.644195988161789
edf06,1,,free_viewing,,5725,3.636428571428571,14,143.84,51.285714285714285,2.4454148471615724
edf06,10,,free_viewing,,5966,4.400714285714286,14,105.28214285714286,39.285714285714285,2.3466309084813943
edf06,11,,free_viewing,,6013,3.079999999999999,14,81.28999999999999,35.142857142857146,2.3282887077997674
edf06,12,,free_viewing,,6017,3.5729411764705885,17,141.58529411764707,54.705882352941174,2.8253282366627888
edf06,13,,free_viewing,,5925,2.561428571428572,14,73.62285714285714,31.142857142857142,2.3628691983122363
edf06,14,,free_viewing,,5861,4.471176470588236,17,96.77529411764709,41.76470588235294,2.900528919979526
edf06,15,,free_viewing,,6138,2.901176470588235,17,79.66176470588233,32.470588235294116,2.7696318018898665
edf06,16,,free_viewing,,6025,3.125,20,83.287,35.2,3.3195020746887964
edf06,17,,free_viewing,,6129,2.3673333333333333,15,77.13799999999999,29.6,2.447381302006853
edf06,18,,free_viewing,,5912,2.352307692307692,13,74.42769230769231,30.153846153846153,2.198917456021651
edf06,19,English,sentence_audio,passive_dropped_agent,10696,1.8593333333333335,15,64.69466666666666,26.8,1.4023934181002244
edf06,2,,free_viewing,,5655,4.0575,16,100.24687499999999,38.25,2.829354553492484
edf06,20,English,sentence_audio,passive_dropped_agent,10891,2.1569230769230776,13,70.88230769230769,27.846153846153847,1.1936461298319714
edf06,21,English,sentence_audio,passive_dropped_agent,11131,2.2570000000000006,10,162.10100000000003,72.4,0.898391878537418
edf06,22,Punjabi,sentence_audio,active,10376,2.2593333333333336,15,73.14866666666667,30.133333333333333,1.4456437933693138
edf06,23,Punjabi,sentence_audio,active,10651,2.3353333333333337,15,71.98533333333333,28.666666666666668,1.408318467749507
edf06,24,Punjabi,sentence_audio,active,10481,4.383157894736843,19,98.93105263157894,42.21052631578947,1.8128041217441084
edf06,25,Punjabi,sentence_audio,passive,10851,4.0275,12,134.20666666666665,54.0,1.105888858169754
edf06,26,Punjabi,sentence_audio,passive,10634,2.6081250000000002,16,106.27624999999998,54.375,1.5046078615760767
edf06,27,Punjabi,sentence_audio,passive,10801,2.132857142857143,14,67.58214285714287,27.857142857142858,1.2961762799740764
edf06,28,Punjabi,sentence_audio,passive_dropped_agent,11081,2.8392857142857144,14,83.80499999999999,31.857142857142858,1.2634238787113077
edf06,29,Punjabi,sentence_audio,passive_dropped_agent,10692,3.507692307692307,13,115.83384615384615,50.46153846153846,1.215862326973438
edf06,3,,free_viewing,,5656,2.882,20,81.45100000000002,30.6,3.5360678925035365
edf06,30,Punjabi,sentence_audio,passive_dropped_agent,10720,3.358125,16,81.64750000000001,36.125,1.4925373134328357
edf06,31,English,sentence_audio,active,10557,3.6614285714285715,14,92.48,33.142857142857146,1.326134318461684
edf06,32,English,sentence_audio,active,10716,2.3609999999999998,10,103.28299999999999,48.2,0.933184023889511
edf06,33,English,sentence_audio,active,10907,2.6841666666666675,12,77.47166666666666,30.333333333333332,1.1002108737508023
edf06,34,English,sentence_audio,passive,10851,2.6750000000000003,14,72.56,32.285714285714285,1.2902036678647129
edf06,35,English,sentence_audio,passive,10838,3.1709090909090905,11,114.82545454545453,45.27272727272727,1.0149474072707143
edf06,36,English,sentence_audio,passive,11057,3.0025,12,81.0725,30.666666666666668,1.0852853396038709
edf06,4,,free_viewing,,5968,2.954999999999999,16,82.05,33.875,2.680965147453083
