participant_id,trial_id,TRIAL_INDEX,saccade_transition,sentence,voice_id,mean_amplitude,mean_duration,n_transitions
edf01,edf01_24,24,object_to_subject,exp_images/sentences/Washed-scooter-passive.jpg,PWA,6.005,46.0,2
edf01,edf01_24,24,object_to_subject,exp_images/sentences/Washed-scooter-woa.jpg,PNA,2.36,28.0,1
edf01,edf01_24,24,subject_to_object,exp_images/sentences/Washed-scooter-passive.jpg,PWA,6.175000000000001,146.0,2
edf01,edf01_24,24,subject_to_subject,exp_images/sentences/Washed-scooter-passive.jpg,PWA,0.62,18.0,1
edf01,edf01_24,24,subject_to_subject,exp_images/sentences/Washed-scooter-woa.jpg,PNA,1.246,24.4,5
edf01,edf01_25,25,object_to_object,exp_images/sentences/Pushed-box-woa.jpg,PNA,1.7666666666666666,24.666666666666668,3
edf01,edf01_25,25,object_to_object,exp_images/sentences/active_man_box.jpg,ACT,1.71,156.0,2
edf01,edf01_25,25,object_to_subject,exp_images/sentences/Pushed-box-woa.jpg,PNA,3.285,33.0,2
edf01,edf01_25,25,subject_to_object,exp_images/sentences/Pushed-box-woa.jpg,PNA,3.2750000000000004,33.0,2
edf01,edf01_26,26,object_to_object,exp_images/sentences/Sapling-woa.jpg,PNA,1.51,104.0,1
edf01,edf01_26,26,object_to_object,exp_images/sentences/active_girl_sapling.jpg,ACT,2.04,27.0,8
edf01,edf01_26,26,object_to_subject,exp_images/sentences/active_girl_sapling.jpg,ACT,4.9399999999999995,39.0,2
edf01,edf01_26,26,subject_to_object,exp_images/sentences/Sapling-woa.jpg,PNA,4.755000000000001,42.0,2
edf01,edf01_26,26,subject_to_object,exp_images/sentences/active_girl_sapling.jpg,ACT,4.48,116.0,2
edf01,edf01_26,26,subject_to_subject,exp_images/sentences/Sapling-woa.jpg,PNA,1.27,22.0,1
edf01,edf01_26,26,subject_to_subject,exp_images/sentences/active_girl_sapling.jpg,ACT,0.81,20.0,1
edf01,edf01_27,27,object_to_object,exp_images/sentences/Shrub-woa.jpg,PNA,1.4000000000000001,58.57142857142857,7
edf01,edf01_27,27,object_to_object,exp_images/sentences/active_man_shrub.jpg,ACT,1.7066666666666668,24.666666666666668,3
edf01,edf01_27,27,object_to_subject,exp_images/sentences/Shrub-woa.jpg,PNA,2.2,30.0,1
edf01,edf01_27,27,subject_to_object,exp_images/sentences/Shrub-woa.jpg,PNA,3.24,36.0,2
edf01,edf01_27,27,subject_to_subject,exp_images/sentences/active_man_shrub.jpg,ACT,0.9199999999999999,22.0,3
edf01,edf01_28,28,object_to_object,exp_images/sentences/passive_dog_hole.jpg,PWA,1.4000000000000001,23.333333333333332,3
edf01,edf01_28,28,object_to_subject,exp_images/sentences/active_dog_hole.jpg,ACT,5.4,46.0,1
edf01,edf01_28,28,subject_to_subject,exp_images/sentences/active_dog_hole.jpg,ACT,2.16,27.5,4
edf01,edf01_28,28,subject_to_subject,exp_images/sentences/passive_dog_hole.jpg,PWA,1.4466666666666665,24.0,3
edf01,edf01_29,29,object_to_object,exp_images/sentences/active_child_frisbee.jpg,ACT,0.7266666666666667,18.666666666666668,3
edf01,edf01_29,29,object_to_object,exp_images/sentences/passive_child_frisbee.jpg,PWA,0.98,22.0,1
edf01,edf01_29,29,object_to_subject,exp_images/sentences/active_child_frisbee.jpg,ACT,6.06,42.0,1
edf01,edf01_29,29,subject_to_object,exp_images/sentences/active_child_frisbee.jpg,ACT,5.03,42.0,1
edf01,edf01_29,29,subject_to_subject,exp_images/sentences/active_child_frisbee.jpg,ACT,0.65,126.0,1
edf01,edf01_29,29,subject_to_subject,exp_images/sentences/passive_child_frisbee.jpg,PWA,1.0916666666666666,21.333333333333332,6
edf01,edf01_3,3,object_to_object,UNDEFINED,UNDEFINED,1.429090909090909,46.36363636363637,11
edf01,edf01_3,3,object_to_subject,UNDEFINED,UNDEFINED,3.14,34.0,1
edf01,edf01_3,3,subject_to_object,UNDEFINED,UNDEFINED,5.324999999999999,39.0,2
edf01,edf01_3,3,subject_to_subject,UNDEFINED,UNDEFINED,1.4328571428571428,52.285714285714285,7
edf01,edf01_30,30,object_to_object,exp_images/sentences/active_child_tabla.jpg,ACT,0.995,20.5,4
edf01,edf01_30,30,object_to_object,exp_images/sentences/passive_child_tabla.jpg,PWA,1.195,23.0,2
edf01,edf01_30,30,object_to_subject,exp_images/sentences/active_child_tabla.jpg,ACT,6.93,46.0,1
edf01,edf01_30,30,subject_to_object,exp_images/sentences/active_child_tabla.jpg,ACT,7.34,46.0,1
edf01,edf01_30,30,subject_to_subject,exp_images/sentences/active_child_tabla.jpg,ACT,1.185,23.0,2
edf01,edf01_30,30,subject_to_subject,exp_images/sentences/passive_child_tabla.jpg,PWA,1.58,137.33333333333334,3
edf01,edf01_31,31,object_to_object,exp_images/sentences/noagent_artist_picture.jpg,PNA,1.745,29.0,4
edf01,edf01_31,31,object_to_object,exp_images/sentences/passive_artist_picture.jpg,PWA,2.0,26.75,8
edf01,edf01_31,31,object_to_subject,exp_images/sentences/noagent_artist_picture.jpg,PNA,5.18,47.0,2
edf01,edf01_31,31,object_to_subject,exp_images/sentences/passive_artist_picture.jpg,PWA,5.08,42.0,1
edf01,edf01_31,31,subject_to_object,exp_images/sentences/noagent_artist_picture.jpg,PNA,2.81,32.0,1
edf01,edf01_31,31,subject_to_object,exp_images/sentences/passive_artist_picture.jpg,PWA,1.73,26.0,1
edf01,edf01_31,31,subject_to_subject,exp_images/sentences/noagent_artist_picture.jpg,PNA,1.8866666666666667,108.66666666666667,3
edf01,edf01_32,32,object_to_object,exp_images/sentences/noagent_girl_cake.jpg,PNA,1.4666666666666668,25.333333333333332,3
edf01,edf01_32,32,object_to_object,exp_images/sentences/passive_girl_cake.jpg,PWA,1.116,36.4,5
edf01,edf01_32,32,object_to_subject,exp_images/sentences/noagent_girl_cake.jpg,PNA,2.04,28.0,1
edf01,edf01_32,32,subject_to_object,exp_images/sentences/noagent_girl_cake.jpg,PNA,2.76,204.0,1
edf01,edf01_32,32,subject_to_subject,exp_images/sentences/noagent_girl_cake.jpg,PNA,0.68,18.0,1
edf01,edf01_33,33,object_to_object,exp_images/sentences/noagent_girl_window.jpg,PNA,1.65,28.0,1
edf01,edf01_33,33,object_to_object,exp_images/sentences/passive_girl_window.jpg,PWA,1.545,24.0,4
edf01,edf01_33,33,object_to_subject,exp_images/sentences/noagent_girl_window.jpg,PNA,4.33,40.0,1
edf01,edf01_33,33,object_to_subject,exp_images/sentences/passive_girl_window.jpg,PWA,4.585,42.0,2
edf01,edf01_33,33,subject_to_object,exp_images/sentences/noagent_girl_window.jpg,PNA,5.07,116.0,2
edf01,edf01_33,33,subject_to_object,exp_images/sentences/passive_girl_window.jpg,PWA,5.995,41.0,2
edf01,edf01_33,33,subject_to_subject,exp_images/sentences/noagent_girl_window.jpg,PNA,2.25,31.0,2
edf01,edf01_33,33,subject_to_subject,exp_images/sentences/passive_girl_window.jpg,PWA,4.18,42.0,1
