participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_fixation_duration,mean_fixation_duration,fixation_count,mean_fixation_x,mean_fixation_y
edf07,36,English,sentence_audio,passive_dropped_agent,11077,4077,815.4,5,781.9399999999999,184.52000000000004
edf07,4,,free_viewing,,5938,4596,1149.0,4,1005.7249999999999,288.325
edf07,5,,free_viewing,,5802,4412,1103.0,4,916.375,250.27499999999998
edf07,6,,free_viewing,,5858,4298,330.61538461538464,13,964.7538461538462,372.86923076923074
edf07,7,,free_viewing,,5701,4487,747.8333333333334,6,792.4833333333335,431.18333333333334
edf07,8,,free_viewing,,6109,4183,522.875,8,841.4999999999999,363.075
edf07,9,,free_viewing,,5931,4671,1557.0,3,880.3333333333334,236.19999999999996
edf08,1,,free_viewing,,5771,4302,286.8,15,910.1933333333333,584.5
edf08,10,,free_viewing,,5813,4343,394.8181818181818,11,925.7727272727273,699.5818181818181
edf08,11,,free_viewing,,6134,4302,268.875,16,912.9687500000001,554.1875
edf08,12,,free_viewing,,5804,4600,766.6666666666666,6,947.4499999999999,416.6166666666666
edf08,13,,free_viewing,,5733,4218,351.5,12,677.1583333333334,507.53333333333336
edf08,14,,free_viewing,,6072,4428,553.5,8,917.3625,434.34999999999997
edf08,15,,free_viewing,,5846,4132,317.84615384615387,13,878.7461538461539,588.1076923076923
edf08,16,,free_viewing,,5697,4613,461.3,10,994.55,672.1200000000001
edf08,17,,free_viewing,,5975,4595,656.4285714285714,7,990.9285714285713,392.0142857142857
edf08,18,,free_viewing,,5746,4412,882.4,5,940.2,541.8599999999999
edf08,19,Punjabi,sentence_audio,passive,10770,4392,366.0,12,1006.5416666666666,445.6666666666667
edf08,2,,free_viewing,,5865,4509,450.9,10,878.3399999999999,623.33
edf08,20,Punjabi,sentence_audio,passive,10409,4329,393.54545454545456,11,956.1909090909089,455.50909090909096
edf08,21,Punjabi,sentence_audio,passive,10423,4729,1182.25,4,952.5999999999999,476.4
edf08,22,Punjabi,sentence_audio,passive_dropped_agent,11042,4380,547.5,8,908.1374999999999,431.25
edf08,23,Punjabi,sentence_audio,passive_dropped_agent,11127,4081,408.1,10,749.9500000000002,455.15999999999997
edf08,24,Punjabi,sentence_audio,passive_dropped_agent,10880,3730,266.42857142857144,14,1051.8714285714284,585.9714285714284
edf08,25,English,sentence_audio,active,10385,4427,402.45454545454544,11,1028.109090909091,354.10909090909087
edf08,26,English,sentence_audio,active,10240,4536,648.0,7,830.8285714285714,470.3428571428571
edf08,27,English,sentence_audio,active,10676,4536,567.0,8,791.125,429.41249999999997
edf08,28,English,sentence_audio,passive,11109,4157,519.625,8,923.6125,638.725
edf08,29,English,sentence_audio,passive,10401,4661,932.2,5,922.3799999999999,314.2
edf08,3,,free_viewing,,6053,4225,352.0833333333333,12,732.6166666666667,606.3999999999999
edf08,30,English,sentence_audio,passive,10834,4574,653.4285714285714,7,809.8571428571429,522.0428571428572
edf08,31,English,sentence_audio,passive_dropped_agent,10617,4307,478.55555555555554,9,964.8000000000001,364.9555555555555
edf08,32,English,sentence_audio,passive_dropped_agent,10854,4274,534.25,8,927.3375,398.90000000000003
edf08,33,English,sentence_audio,passive_dropped_agent,10882,4702,427.45454545454544,11,1122.2636363636364,385.63636363636357
edf08,34,Punjabi,sentence_audio,active,10774,4386,731.0,6,920.6166666666667,614.5500000000001
edf08,35,Punjabi,sentence_audio,active,10584,4592,1530.6666666666667,3,936.5333333333333,626.0
edf08,36,Punjabi,sentence_audio,active,10205,4511,4511.0,1,964.2,375.7
edf08,4,,free_viewing,,5743,4603,575.375,8,1070.4874999999997,428.0
edf08,5,,free_viewing,,5823,4339,289.26666666666665,15,900.9933333333333,370.78
edf08,6,,free_viewing,,5636,4358,396.1818181818182,11,1023.7909090909089,379.53636363636366
edf08,7,,free_viewing,,5677,4757,951.4,5,986.22,403.84
edf08,8,,free_viewing,,6046,4386,548.25,8,951.9,308.2125
edf08,9,,free_viewing,,5921,4605,575.625,8,928.0875,480.2
edf09,1,,free_viewing,,6067,4520,753.3333333333334,6,816.2833333333334,487.9333333333334
edf09,10,,free_viewing,,5804,4360,396.3636363636364,11,939.781818181818,579.8
