participant_id,trial_id,TRIAL_INDEX,aoi_type,sentence,voice_id,image_id,stim_id,total_fixation_duration,mean_fixation_duration,median_fixation_duration,n_fixations,first_fixation_time,last_fixation_time,time_to_first_fixation
edf01,edf01_16,16,object,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,4641,290.0625,257.0,16,1028,6040,0
edf01,edf01_16,16,other,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,382,191.0,191.0,2,2474,4452,1446
edf01,edf01_16,16,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,3758,221.05882352941177,176.0,17,1212,5684,184
edf01,edf01_17,17,object,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,1516,216.57142857142858,178.0,7,1298,2968,248
edf01,edf01_17,17,object,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,908,302.6666666666667,302.0,3,1428,5306,378
edf01,edf01_17,17,other,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,802,267.3333333333333,210.0,3,4466,5714,3416
edf01,edf01_17,17,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,1964,218.22222222222223,128.0,9,1050,6006,0
edf01,edf01_17,17,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,3765,418.3333333333333,378.0,9,1143,6136,93
edf01,edf01_18,18,object,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,2306,461.2,398.0,5,764,3612,0
edf01,edf01_18,18,object,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,2543,423.8333333333333,187.0,6,1172,5859,408
edf01,edf01_18,18,other,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,242,242.0,242.0,1,4056,4296,3292
edf01,edf01_18,18,other,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,258,258.0,258.0,1,868,1124,104
edf01,edf01_18,18,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,2011,335.1666666666667,331.0,6,2804,5757,2040
edf01,edf01_18,18,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,1602,1602.0,1602.0,1,3434,5034,2670
edf01,edf01_19,19,object,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,588,294.0,294.0,2,6842,7446,1312
edf01,edf01_19,19,object,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,1180,590.0,590.0,2,8184,9392,2654
edf01,edf01_19,19,subject,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,3818,477.25,276.0,8,6194,11178,664
edf01,edf01_19,19,subject,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,3653,913.25,552.5,4,5530,10523,0
edf01,edf01_2,2,object,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,2090,232.22222222222223,180.0,9,1332,3818,533
edf01,edf01_2,2,object,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,1634,408.5,332.0,4,840,5290,41
edf01,edf01_2,2,other,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,285,285.0,285.0,1,799,1082,0
edf01,edf01_2,2,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,2030,338.3333333333333,294.0,6,1110,5790,311
edf01,edf01_2,2,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,3071,438.7142857142857,386.0,7,1474,5833,675
edf01,edf01_20,20,object,exp_images/sentences/Bucket-passive.jpg,PWA,IMG_09,STIM_27,3360,373.3333333333333,266.0,9,5502,10494,0
edf01,edf01_20,20,object,exp_images/sentences/Bucket.jpg,ACT,IMG_09,STIM_09,3734,533.4285714285714,631.0,7,6057,11049,555
edf01,edf01_20,20,subject,exp_images/sentences/Bucket-passive.jpg,PWA,IMG_09,STIM_27,966,322.0,312.0,3,7068,8596,1566
edf01,edf01_20,20,subject,exp_images/sentences/Bucket.jpg,ACT,IMG_09,STIM_09,992,496.0,496.0,2,7634,10390,2132
edf01,edf01_21,21,object,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,1867,311.1666666666667,164.5,6,5938,10559,372
edf01,edf01_21,21,object,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,4438,634.0,480.0,7,6162,10744,596
edf01,edf01_21,21,other,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,334,334.0,334.0,1,9864,10196,4298
edf01,edf01_21,21,other,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,178,178.0,178.0,1,5940,6116,374
edf01,edf01_21,21,subject,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,2174,434.8,374.0,5,5566,9834,0
edf01,edf01_22,22,object,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,1955,391.0,373.0,5,5324,10317,0
edf01,edf01_22,22,object,exp_images/sentences/Closed-door-woa.jpg,PNA,IMG_10,STIM_46,1047,349.0,225.0,3,5411,7038,87
edf01,edf01_22,22,other,exp_images/sentences/Closed-door-woa.jpg,PNA,IMG_10,STIM_46,140,140.0,140.0,1,5850,5988,526
edf01,edf01_22,22,subject,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,2262,452.4,312.0,5,6010,9210,686
edf01,edf01_22,22,subject,exp_images/sentences/Closed-door-woa.jpg,PNA,IMG_10,STIM_46,3351,478.7142857142857,354.0,7,6012,10403,688
edf01,edf01_23,23,object,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,2296,765.3333333333334,650.0,3,5780,10772,472
edf01,edf01_23,23,object,exp_images/sentences/Lamp-woa.jpg,PNA,IMG_01,STIM_37,3270,408.75,420.0,8,5308,10300,0
edf01,edf01_23,23,subject,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,2536,1268.0,1268.0,2,7956,10518,2648
edf01,edf01_23,23,subject,exp_images/sentences/Lamp-woa.jpg,PNA,IMG_01,STIM_37,1208,1208.0,1208.0,1,8410,9616,3102
edf01,edf01_24,24,object,exp_images/sentences/Washed-scooter-passive.jpg,PWA,IMG_14,STIM_32,3642,455.25,324.0,8,5562,10554,221
edf01,edf01_24,24,object,exp_images/sentences/Washed-scooter-woa.jpg,PNA,IMG_14,STIM_50,2726,247.8181818181818,156.0,11,5341,10333,0
edf01,edf01_24,24,other,exp_images/sentences/Washed-scooter-woa.jpg,PNA,IMG_14,STIM_50,248,124.0,124.0,2,8766,9034,3425
edf01,edf01_24,24,subject,exp_images/sentences/Washed-scooter-passive.jpg,PWA,IMG_14,STIM_32,810,270.0,254.0,3,6684,8382,1343
edf01,edf01_24,24,subject,exp_images/sentences/Washed-scooter-woa.jpg,PNA,IMG_14,STIM_50,1536,307.2,240.0,5,7108,8736,1767
edf01,edf01_25,25,object,exp_images/sentences/Pushed-box-woa.jpg,PNA,IMG_05,STIM_41,1986,331.0,355.0,6,6164,10864,801
