participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf03,18,,free_viewing,,s_child_child_throw_frisbee,4346.0,1322,4,1484.0,1484.0,0.3041877588587207
edf03,19,Punjabi,sentence_audio,passive_dropped_agent,o_letter_woman_read_letter,4608.0,214,1,5914.0,5914.0,0.046440972222222224
edf03,19,Punjabi,sentence_audio,passive_dropped_agent,s_woman_woman_read_letter,4608.0,4394,2,5365.0,5365.0,0.9535590277777778
edf03,2,,free_viewing,,o_tabla_child_play_tabla,4588.0,2677,2,1348.0,1348.0,0.5834786399302528
edf03,2,,free_viewing,,s_child_child_play_tabla,4588.0,724,2,1144.0,1144.0,0.15780296425457715
edf03,20,Punjabi,sentence_audio,passive_dropped_agent,o_bucket_boy_filled_bucket,4323.0,2357,4,5689.0,5689.0,0.5452232246125376
edf03,20,Punjabi,sentence_audio,passive_dropped_agent,s_boy_boy_filled_bucket,4323.0,1508,3,6426.0,6426.0,0.34883182974786026
edf03,21,Punjabi,sentence_audio,passive_dropped_agent,o_clothes_woman_folded_clothes,4212.0,2388,5,5702.0,5702.0,0.5669515669515669
edf03,21,Punjabi,sentence_audio,passive_dropped_agent,s_woman_woman_folded_clothes,4212.0,1824,6,5464.0,5464.0,0.43304843304843305
edf03,22,English,sentence_audio,active,o_door_boy_opened_door,4258.0,502,1,8366.0,8366.0,0.11789572569281352
edf03,22,English,sentence_audio,active,s_boy_boy_opened_door,4258.0,3177,3,6224.0,6224.0,0.7461249412869893
edf03,23,English,sentence_audio,active,o_lamp_girl_light_lamp,4256.0,2616,4,5448.0,5448.0,0.6146616541353384
edf03,23,English,sentence_audio,active,s_girl_girl_lit_lamp,4256.0,1445,4,5191.0,5191.0,0.3395206766917293
edf03,24,English,sentence_audio,active,o_scooter_driver_wash_scooter,4482.0,0,0,,,0.0
edf03,24,English,sentence_audio,active,s_driver_driver_wash_scooter,4482.0,4482,1,5664.0,5664.0,1.0
edf03,25,English,sentence_audio,passive,o_box_man_pushed_box,4108.0,784,2,7656.0,7656.0,0.19084712755598832
edf03,25,English,sentence_audio,passive,s_man_man_pushed_box,4108.0,2674,5,5324.0,5324.0,0.6509250243427459
edf03,26,English,sentence_audio,passive,o_tree_girl_plant_tree,3855.0,2224,3,6806.0,6806.0,0.5769130998702983
edf03,26,English,sentence_audio,passive,s_girl_girl_plant_tree,3855.0,1405,3,5723.0,5723.0,0.364461738002594
edf03,27,English,sentence_audio,passive,o_shrub_man_cut_shrub,3848.0,3848,1,5372.0,5372.0,1.0
edf03,27,English,sentence_audio,passive,s_man_man_cut_shrub,3848.0,0,0,,,0.0
edf03,28,English,sentence_audio,passive_dropped_agent,o_hole_dog_dug_hole,4318.0,1335,3,6128.0,6128.0,0.309170912459472
edf03,28,English,sentence_audio,passive_dropped_agent,s_dog_dog_dug_hole,4318.0,2045,4,5635.0,5635.0,0.47359888837424735
edf03,29,English,sentence_audio,passive_dropped_agent,o_frisbee_child_throw_frisbee,3967.0,0,0,,,0.0
edf03,29,English,sentence_audio,passive_dropped_agent,s_child_child_throw_frisbee,3967.0,0,0,,,0.0
edf03,3,,free_viewing,,o_bucket_boy_filled_bucket,4554.0,3522,4,883.0,883.0,0.7733860342555995
edf03,3,,free_viewing,,s_boy_boy_filled_bucket,4554.0,884,2,1442.0,1442.0,0.19411506368028106
edf03,30,English,sentence_audio,passive_dropped_agent,o_tabla_child_play_tabla,4189.0,1550,3,6324.0,6324.0,0.370016710432084
edf03,30,English,sentence_audio,passive_dropped_agent,s_child_child_play_tabla,4189.0,1760,3,6742.0,6742.0,0.42014800668417285
edf03,31,Punjabi,sentence_audio,active,o_picture_artiste_drew_picture,4061.0,1769,4,6169.0,6169.0,0.4356069933513913
edf03,31,Punjabi,sentence_audio,active,s_artiste_artiste_drew_picture,4061.0,2164,4,6654.0,6654.0,0.5328736764343758
edf03,32,Punjabi,sentence_audio,active,o_cake_girl_baked_cake,4440.0,150,1,5936.0,5936.0,0.033783783783783786
edf03,32,Punjabi,sentence_audio,active,s_girl_girl_baked_cake,4440.0,764,1,6130.0,6130.0,0.17207207207207206
edf03,33,Punjabi,sentence_audio,active,o_window_girl_opened_window,4337.0,736,2,8312.0,8312.0,0.16970255937283837
edf03,33,Punjabi,sentence_audio,active,s_girl_girl_opened_window,4337.0,3155,3,5634.0,5634.0,0.7274613788332949
edf03,34,Punjabi,sentence_audio,passive,o_dog_girl_fed_dog,4331.0,1397,5,6028.0,6028.0,0.3225583006234126
edf03,34,Punjabi,sentence_audio,passive,s_girl_girl_fed_dog,4331.0,1712,2,6224.0,6224.0,0.3952897714153775
edf03,35,Punjabi,sentence_audio,passive,o_veg_boy_cut_vegetables,3591.0,2590,2,6052.0,6052.0,0.7212475633528265
edf03,35,Punjabi,sentence_audio,passive,s_boy_boy_cut_vegetables,3591.0,1001,3,5793.0,5793.0,0.2787524366471735
