participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_interest_area_dwell_time,total_interest_area_entry_count,min_time_to_first_fixation,interest_area_dwell_time_normalized
edf03,5,,free_viewing,,4530.0,3994,4,1184.0,0.8816777041942605
edf03,6,,free_viewing,,4522.0,4522,6,1089.0,1.0
edf03,7,,free_viewing,,4527.0,4527,5,720.0,1.0
edf03,8,,free_viewing,,4702.0,4702,5,1130.0,1.0
edf03,9,,free_viewing,,4432.0,4062,3,1024.0,0.9165162454873647
edf04,1,,free_viewing,,4650.0,4197,6,1076.0,0.9025806451612903
edf04,10,,free_viewing,,4557.0,3971,5,723.0,0.8714066271669958
edf04,11,,free_viewing,,4926.0,4926,1,677.0,1.0
edf04,12,,free_viewing,,4523.0,3417,6,1073.0,0.7554720318372762
edf04,13,,free_viewing,,4574.0,2664,6,1036.0,0.5824223874070835
edf04,14,,free_viewing,,4806.0,4477,4,1312.0,0.9315439034540158
edf04,15,,free_viewing,,4760.0,4760,6,853.0,1.0
edf04,16,,free_viewing,,4761.0,4761,4,961.0,1.0
edf04,17,,free_viewing,,4446.0,4446,3,1100.0,1.0
edf04,18,,free_viewing,,4633.0,4633,5,983.0,1.0
edf04,19,English,sentence_audio,active,4622.0,4198,3,5324.0,0.9082648204240589
edf04,2,,free_viewing,,4431.0,4131,8,895.0,0.9322951929587001
edf04,20,English,sentence_audio,active,4622.0,4622,8,5728.0,1.0
edf04,21,English,sentence_audio,active,4595.0,4197,7,5981.0,0.9133841131664853
