participant_id,trial_id,language,session_type,sentence_type,first_aoi_fix_index,current_fix_interest_area_label,first_aoi_fix_start,first_aoi_fix_x,first_aoi_fix_y,first_aoi_role,agent_first_look,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf04,19,English,sentence_audio,active,2,s_woman_woman_read_letter,5584,961.3,456.7,agent,1,exp_images/audio\ENGLISH\letter.wav,IMG_17_E_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/active_women_letter.jpg,STIM_71,stimuli_list_subj_4_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf04,20,English,sentence_audio,active,2,s_boy_boy_filled_bucket,5992,1025.5,317.8,agent,1,exp_images/audio\ENGLISH\bucket.wav,IMG_09_E_ACT,exp_images/images/boy_filled_bucket.jpg,IMG_09,exp_images/sentences/active_boy_bucket.jpg,STIM_63,stimuli_list_subj_4_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf04,21,English,sentence_audio,active,2,s_woman_woman_folded_clothes,6230,977.3,364.5,agent,1,exp_images/audio\ENGLISH\clothes.wav,IMG_06_E_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/active_woman_clothes.jpg,STIM_60,stimuli_list_subj_4_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf04,22,English,sentence_audio,passive,2,s_boy_boy_opened_door,6230,870.5,417.1,agent,1,exp_images/audio\ENGLISH\p_door.wav,IMG_10_E_PWA,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/passive_boy_door.jpg,STIM_82,stimuli_list_subj_4_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf04,23,English,sentence_audio,passive,2,o_lamp_girl_light_lamp,5786,795.7,485.2,object,0,exp_images/audio\ENGLISH\p_lamp.wav,IMG_01_E_PWA,exp_images/images/girl_lighted_lamp.jpg,IMG_01,exp_images/sentences/passive_girl_lamp.jpg,STIM_73,stimuli_list_subj_4_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf04,24,English,sentence_audio,passive,2,o_scooter_driver_wash_scooter,6226,967.9,485.1,object,0,exp_images/audio\ENGLISH\p_scooter.wav,IMG_14_E_PWA,exp_images/images/driver_wash_scooter.jpg,IMG_14,exp_images/sentences/passive_driver_scooter.jpg,STIM_86,stimuli_list_subj_4_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf04,25,English,sentence_audio,passive_dropped_agent,2,s_man_man_pushed_box,5820,906.5,263.8,agent,1,exp_images/audio\ENGLISH\p_woa_box.wav,IMG_05_E_PNA,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/noagent_man_box.jpg,STIM_95,stimuli_list_subj_4_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf04,26,English,sentence_audio,passive_dropped_agent,2,o_tree_girl_plant_tree,5980,716.5,718.0,object,0,exp_images/audio\ENGLISH\p_woa_sapling.wav,IMG_03_E_PNA,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/noagent_girl_sapling.jpg,STIM_93,stimuli_list_subj_4_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf04,27,English,sentence_audio,passive_dropped_agent,2,o_shrub_man_cut_shrub,6074,853.1,499.2,object,0,exp_images/audio\ENGLISH\p_woa_shrub.wav,IMG_04_E_PNA,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/noagent_man_shrub.jpg,STIM_94,stimuli_list_subj_4_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf04,28,Punjabi,sentence_audio,active,2,s_dog_dog_dug_hole,6324,893.8,555.5,agent,1,exp_images/audio\PUNJABI\dug.wav,IMG_13_P_ACT,exp_images/images/dog_dug_hole.jpg,IMG_13,exp_images/sentences/Dog-dug.jpg,STIM_13,stimuli_list_subj_4_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf04,29,Punjabi,sentence_audio,active,2,s_child_child_throw_frisbee,5728,1109.0,351.8,agent,1,exp_images/audio\PUNJABI\frisbee.wav,IMG_12_P_ACT,exp_images/images/child_throw_frisbee.jpg,IMG_12,exp_images/sentences/Frisbee.jpg,STIM_12,stimuli_list_subj_4_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf04,30,Punjabi,sentence_audio,active,2,o_tabla_child_play_tabla,5792,770.2,584.5,object,0,exp_images/audio\PUNJABI\tabla.wav,IMG_11_P_ACT,exp_images/images/child_play_tabla.jpg,IMG_11,exp_images/sentences/Tabla.jpg,STIM_11,stimuli_list_subj_4_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf04,31,Punjabi,sentence_audio,passive,2,o_picture_artiste_drew_picture,5652,1054.6,493.8,object,0,exp_images/audio\PUNJABI\p_picture.wav,IMG_07_P_PWA,exp_images/images/artiste_drew_picture.jpg,IMG_07,exp_images/sentences/Painting-passive.jpg,STIM_25,stimuli_list_subj_4_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf04,32,Punjabi,sentence_audio,passive,2,s_girl_girl_baked_cake,6456,902.8,383.3,agent,1,exp_images/audio\PUNJABI\p_cake.wav,IMG_15_P_PWA,exp_images/images/girl_baked_cake.jpg,IMG_15,exp_images/sentences/Cake-passive.jpg,STIM_33,stimuli_list_subj_4_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf04,33,Punjabi,sentence_audio,passive,2,o_window_girl_opened_window,6324,1188.9,488.9,object,0,exp_images/audio\PUNJABI\p_window.wav,IMG_02_P_PWA,exp_images/images/girl_opened_window.jpg,IMG_02,exp_images/sentences/Window-passive.jpg,STIM_20,stimuli_list_subj_4_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
