participant_id,image_id,baseline_fixation_trial_length_ms,baseline_fixation_total_fixation_duration,baseline_fixation_mean_fixation_duration,baseline_fixation_fixation_count,baseline_fixation_mean_fixation_x,baseline_fixation_mean_fixation_y,baseline_interest_area_trial_length_ms,baseline_interest_area_total_interest_area_dwell_time,baseline_interest_area_total_interest_area_entry_count,baseline_interest_area_min_time_to_first_fixation,baseline_interest_area_interest_area_dwell_time_normalized,baseline_saccade_trial_length_ms,baseline_saccade_mean_saccade_amplitude,baseline_saccade_saccade_count,baseline_saccade_mean_saccade_velocity,baseline_saccade_mean_saccade_duration,baseline_saccade_saccade_rate
edf06,IMG_10,5912.0,4454.0,342.61538461538464,13.0,904.9769230769231,515.3769230769232,4600.0,4392,10,920.0,0.954782608695652,5912.0,2.3523076923076918,13.0,74.42769230769231,30.153846153846153,2.198917456021651
edf06,IMG_11,6138.0,4260.0,250.58823529411762,17.0,925.3470588235293,596.1882352941175,4440.0,2642,3,1358.0,0.5950450450450451,6138.0,2.9011764705882346,17.0,79.66176470588233,32.47058823529412,2.7696318018898665
edf06,IMG_12,5655.0,4066.0,271.06666666666666,15.0,1057.42,622.6466666666668,4399.0,2980,5,1030.0,0.6774266878836099,5655.0,4.0575,16.0,100.246875,38.25,2.829354553492484
edf06,IMG_13,5966.0,4276.0,305.42857142857144,14.0,957.8714285714284,721.157142857143,4443.0,3277,7,973.0,0.7375647085302723,5966.0,4.400714285714286,14.0,105.28214285714287,39.285714285714285,2.3466309084813943
edf06,IMG_14,6121.0,4103.0,241.35294117647058,17.0,918.4705882352944,570.4470588235295,4377.0,4377,4,1128.0,1.0,6121.0,3.64,17.0,90.45823529411764,36.23529411764706,2.7773239666721117
edf06,IMG_15,5840.0,4494.0,408.54545454545456,11.0,937.8272727272728,500.6818181818182,4670.0,4670,6,848.0,1.0,5840.0,2.1818181818181817,11.0,67.42272727272729,29.272727272727273,1.8835616438356164
edf06,IMG_16,6017.0,3848.0,240.5,16.0,901.0,673.7624999999998,4081.0,2797,6,1025.0,0.6853712325410438,6017.0,3.5729411764705885,17.0,141.5852941176471,54.70588235294117,2.8253282366627888
edf06,IMG_17,5925.0,4349.0,310.64285714285717,14.0,966.4,529.8071428571427,4557.0,4193,4,932.0,0.9201228878648232,5925.0,2.561428571428572,14.0,73.62285714285714,31.142857142857146,2.3628691983122363
edf06,IMG_18,6013.0,4281.0,305.7857142857143,14.0,1017.2571428571428,739.0857142857143,4500.0,4500,4,1021.0,1.0,6013.0,3.0799999999999987,14.0,81.28999999999998,35.142857142857146,2.328288707799768
edf07,IMG_01,5701.0,4487.0,747.8333333333335,6.0,792.4833333333335,431.1833333333333,4820.0,4820,3,709.0,1.0,5701.0,2.276666666666667,6.0,69.76666666666667,28.66666666666667,1.0524469391334854
edf07,IMG_02,5665.0,4243.0,282.8666666666667,15.0,1114.88,383.64,4535.0,4243,4,994.0,0.93561190738699,5665.0,2.5346666666666664,15.0,78.37933333333334,30.53333333333333,2.64783759929391
edf07,IMG_03,6109.0,4183.0,522.875,8.0,841.4999999999999,363.075,4583.0,3767,5,1116.0,0.8219506873227144,6109.0,2.89625,8.0,128.5825,51.25,1.3095432967752496
edf07,IMG_04,5669.0,3491.0,436.375,8.0,871.925,219.225,4480.0,2210,4,677.0,0.4933035714285714,5669.0,3.38375,8.0,80.42,64.0,1.4111836302698892
edf07,IMG_05,5953.0,4317.0,1079.25,4.0,996.8,257.375,4725.0,2091,3,960.0,0.44253968253968257,5953.0,1.97,4.0,134.1525,67.0,0.6719301192675962
edf07,IMG_06,6004.0,4126.0,687.6666666666665,6.0,979.85,293.83333333333337,4506.0,1932,4,1470.0,0.42876165113182413,6004.0,4.485,6.0,161.54833333333337,81.0,0.9993337774816791
edf07,IMG_07,6046.0,4404.0,367.0,12.0,927.8916666666668,292.56666666666666,4607.0,4607,3,1053.0,1.0,6046.0,2.8366666666666664,12.0,77.86083333333335,32.166666666666664,1.9847833278200464
edf07,IMG_08,5789.0,3679.0,408.77777777777777,9.0,863.2333333333332,216.17777777777775,4195.0,2629,4,796.0,0.6266984505363528,5789.0,3.7077777777777774,9.0,177.25,88.66666666666669,1.554672655035412
edf07,IMG_09,5938.0,4596.0,1149.0,4.0,1005.725,288.325,4780.0,4596,3,1158.0,0.9615062761506276,5938.0,2.5325,4.0,137.785,53.0,0.6736274840013473
edf07,IMG_10,5858.0,4298.0,330.61538461538464,13.0,964.7538461538463,372.86923076923074,4666.0,4236,4,866.0,0.9078439777111016,5858.0,1.5630769230769228,13.0,60.439230769230754,25.07692307692308,2.219187435984978
